1,Rock
2,Rock
3,Rock
4,Rock
5,Rock,Pop
6,Funk/Soul
7,Rock
8,Rock
9,Rock,Blues
10,Rock
11,Rock
12,Jazz
13,Rock
14,Rock
15,Rock,Blues
16,Rock
17,Rock
18,Rock
19,Jazz,Rock,Blues,Folk World & Country
20,Funk/Soul,Pop
21,Rock
22,Blues
23,Rock
24,Funk/Soul
25,Funk/Soul
26,Rock
27,Rock
28,Rock
29,Rock
30,Pop
31,Rock,Folk,World & Country
32,Rock
33,Rock
34,Rock
35,Rock
36,Rock,Pop
37,Rock
38,Folk,World & Country
39,Rock
40,Rock
41,Rock
42,Rock
43,Rock
44,Rock
45,Classical,Stage & Screen
46,Reggae
47,Jazz
48,HipHop
49,Rock,Blues
50,Rock,Blues
51,Rock
52,Funk/Soul
53,Rock
54,Jazz,Funk/Soul
55,Rock,Blues
56,Rock
57,Funk/Soul
58,Rock,Funk/Soul,Pop
59,Rock
60,Rock,Blues
61,Funk/Soul
62,Rock
63,Electronic,Rock
64,Rock
65,Rock,Funk/Soul,Pop
66,Jazz,Rock,Funk/Soul,Folk World & Country
67,Electronic,Rock
68,Funk/Soul,Pop
69,Rock
70,Rock
71,Jazz,Rock,Funk/Soul,Pop,Folk World & Country
72,Funk/Soul,Stage & Screen
73,Rock
74,Rock
75,Funk/Soul
76,Electronic,Rock,Funk/Soul,Stage & Screen
77,Rock
78,Funk/Soul
79,Rock
80,Rock
81,Rock
82,Rock
83,Rock
84,Funk/Soul
85,Funk/Soul
86,Rock
87,Rock
88,Folk World & Country
89,Rock,Funk/Soul
90,Funk/Soul
91,Rock
92,Rock
93,Rock,Reggae
94,Folk World & Country
95,Jazz
96,Rock
97,Folk World & Country
98,Rock
99,Funk/Soul
100,Rock
101,Jazz,Pop
102,Rock,Blues
103,Jazz
104,Rock
105,Funk/Soul,Folk World & Country
106,Rock
107,Latin,Funk/Soul
108,Rock
109,Rock
110,Rock
111,Rock
112,Rock
113,Rock
114,Rock
115,Rock
116,Rock
117,Rock
118,HipHop
119,Funk/Soul,Blues
120,Rock
121,Funk/Soul
122,Reggae,Pop,Folk World & Country,Stage & Screen
123,HipHop
124,Rock
125,Rock,Blues
126,Reggae
127,Rock
128,Rock
129,Electronic,Rock
130,Rock
131,Rock
132,Electronic,Stage & Screen
133,Rock
134,HipHop
135,Rock
136,Rock
137,Rock
138,HipHop
139,Funk/Soul
140,Electronic,Rock
141,Blues
142,Rock,Funk/Soul,Pop
